timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1528883642361363,-3,-1,-1,2,0,-1,-1,-1
1528883642361363,-1,2,0,-1,0,-2,0,-2
1528883642366350,0,1,-1,-1,0,-1,-2,-2
1528883642366350,-2,0,-1,0,0,-1,0,-2
1528883642367348,1,-2,1,0,0,-1,-2,-3
1528883642367348,-2,-2,0,-1,-2,1,0,0
1528883642369342,-2,-1,0,-1,-2,0,0,1
1528883642369342,-1,-1,0,-2,1,-1,-1,-1
1528883642379315,-2,-1,-1,-1,-2,-2,1,0
1528883642379315,1,0,-1,-1,0,-3,-5,-4
1528883642392281,1,-3,-1,-2,-1,-2,2,6
1528883642392281,-2,-1,-1,-1,0,1,-4,-9
1528883642394276,-1,0,-1,-1,1,0,1,-2
1528883642394276,-2,-2,0,-1,1,0,-1,0
1528883642409237,1,0,-1,-1,-1,-1,-3,-4
1528883642409237,-1,1,-1,-3,-1,-3,-1,0
1528883642419209,2,-1,-2,-1,-2,-1,-1,1
1528883642419209,-1,0,-1,0,-3,-1,-1,-3
1528883642426190,-1,-1,-1,0,0,0,-1,-2
1528883642426190,0,-1,2,1,-2,-2,0,2
1528883642439155,-1,0,0,-2,-3,-3,-3,-1
1528883642439155,-1,-2,-1,1,-2,1,0,1
1528883642449128,-1,-1,-1,1,1,1,1,-1
1528883642449128,0,-1,-1,0,0,1,0,-1
1528883642488026,-1,-2,-2,-1,-1,0,0,0
1528883642488026,1,0,0,-1,-2,2,0,-1
1528883642489023,0,-1,-1,1,-3,-1,0,-2
1528883642489023,0,0,0,1,-1,-1,-4,-2
1528883642492015,1,0,-2,-1,-1,-1,-1,0
1528883642492015,-1,0,0,-1,-1,0,-2,0
1528883642493012,-1,0,-2,1,0,-1,-3,-1
1528883642493012,-1,-2,-1,0,-1,0,0,0
1528883642499022,0,-1,0,1,2,-1,-1,0
1528883642499022,1,-1,-1,-2,2,0,1,1
1528883642507971,-1,-1,-1,-1,1,-1,0,1
1528883642507971,-1,0,-1,-3,0,-2,0,0
1528883642513955,0,0,-1,-2,-1,0,1,0
1528883642513955,-2,0,0,-2,-2,0,-2,-5
1528883642530912,0,-2,1,-1,1,0,1,1
1528883642530912,0,-2,1,-1,-1,1,1,0
1528883642536895,1,0,-2,0,-2,-2,0,0
1528883642536895,1,-2,2,3,1,-2,-3,1
1528883642545870,1,0,-2,-1,-2,-1,-2,-6
1528883642545870,-2,-2,-1,-4,2,-1,0,-1
1528883642558835,0,-3,-1,-1,0,1,1,-2
1528883642558835,-2,-1,0,1,-2,-2,0,-2
1528883642567812,-1,-1,0,-2,-1,0,1,3
1528883642567812,-1,1,-1,0,0,-2,1,1
1528883642575797,-1,1,0,0,-1,-1,0,-1
1528883642575797,0,-2,-2,-1,1,-2,3,8
1528883642590751,0,-2,1,0,-3,-3,-7,-10
1528883642590751,0,0,-1,-1,-4,0,0,-2
1528883642596736,-1,-1,0,-1,-1,-1,-1,-3
1528883642596736,0,-1,-2,-1,-3,-2,-1,0
1528883642605711,-3,0,-1,-1,-1,-1,0,1
1528883642605711,-1,-2,-1,1,2,0,0,-1
1528883642619675,0,0,1,0,-2,1,-1,-2
1528883642619675,-1,-1,0,-2,-2,2,0,-3
1528883642628651,-2,0,-1,-1,0,2,-1,-4
1528883642628651,1,-1,-1,2,-3,0,2,3
1528883642634669,0,-1,0,1,0,-1,1,3
1528883642634669,-2,0,-2,0,1,-3,-2,-1
1528883642650591,0,0,1,-2,-1,-1,0,2
1528883642650591,1,-2,0,-1,1,-2,-2,0
1528883642656613,-2,-1,-1,0,-2,-1,-2,0
1528883642656613,-1,1,-1,-1,1,0,0,-3
1528883642671535,2,-1,0,0,0,0,1,1
1528883642671535,2,2,1,1,-3,0,-3,0
1528883642679572,-1,-2,1,-2,0,-2,-1,2
1528883642679572,0,1,0,-1,-1,-1,2,-2
1528883642688537,0,-1,-1,0,1,-1,-1,1
1528883642688537,-3,-1,1,1,0,0,0,-3
1528883642694474,-2,2,0,0,0,1,0,-1
1528883642694474,-2,-1,-1,2,-1,1,-1,-2
1528883642710471,0,-1,-1,-1,0,1,2,0
1528883642710471,-1,-3,-2,-2,-2,0,-1,-1
1528883642716454,1,-1,-1,-4,0,-1,-2,0
1528883642716454,-1,-3,-1,-1,-2,-1,-1,0
1528883642731376,0,-1,1,1,1,-1,-2,0
1528883642731376,-1,0,-1,-1,-2,-3,0,-2
1528883642739391,-1,0,-1,0,1,-1,1,-1
1528883642739391,-1,0,0,-1,-2,-1,-1,-1
1528883642748330,-2,-1,-1,-1,-2,0,-1,0
1528883642748330,-1,-1,-1,-2,-2,-1,-2,-3
